Id,ImportTS,Date,Open,High,Low,Close,Adjusted_close,Volume
03d2cb795b86ffcce9b365430a251735,2023-06-19T23:51:09.935884,2022-06-21,7.14,7.35,7.05,7.08,7.08,538900
a953a9858ece1c8d51a912d550a85a2f,2023-06-19T23:51:09.935884,2022-06-22,6.98,7.14,6.98,7.06,7.06,263900
e3133eee4907376280410022a5465bf3,2023-06-19T23:51:09.935884,2022-06-23,7.04,7.27,7.02,7.19,7.19,508700
c369bae84f43d4203cf3127ff73e717b,2023-06-19T23:51:09.935884,2022-06-24,7.26,7.65,7.17,7.46,7.46,640500
d8ddef7e01b74000b6621d777a77b4a9,2023-06-19T23:51:09.935884,2022-06-27,7.39,7.5,7.23,7.25,7.25,259000
8984079598a04d99e0cb288cd3263bfe,2023-06-19T23:51:09.935884,2022-06-28,7.24,7.38,7.11,7.19,7.19,274500
5190cf15ede3aaed2601569661e8b2b0,2023-06-19T23:51:09.935884,2022-06-29,7.14,7.14,6.71,6.75,6.75,763400
915796af756547239059e24e1a2be91d,2023-06-19T23:51:09.935884,2022-06-30,6.62,6.65,6.19,6.23,6.23,1017700
5a13c9e93e9d494524fdfcef2e64940a,2023-06-19T23:51:09.935884,2022-07-01,6.25,6.67,6.19,6.58,6.58,514600
007f392a9df220ee84adb50ded8c8224,2023-06-19T23:51:09.935884,2022-07-05,6.39,6.7,6.26,6.67,6.67,289600
91bf4cf2ad1d4359231f9c8201a9f471,2023-06-19T23:51:09.935884,2022-07-06,6.7,6.76,6.48,6.57,6.57,245000
4ec3a196791fe1bd440cc8d0172d0546,2023-06-19T23:51:09.935884,2022-07-07,6.66,6.88,6.63,6.8,6.8,260700
0e1b9dbb3c8079287782d876c2dc616c,2023-06-19T23:51:09.935884,2022-07-08,6.74,6.94,6.72,6.8,6.8,225300
56b59211dc2ffcc04ab1693b3f5d895c,2023-06-19T23:51:09.935884,2022-07-11,6.8,6.88,6.59,6.63,6.63,158800
dbf8b838702b2c229e82b3fc10b9d730,2023-06-19T23:51:09.935884,2022-07-12,6.59,6.76,6.49,6.52,6.52,274400
93e445b5defd009b5ffa62f19580e9d3,2023-06-19T23:51:09.935884,2022-07-13,6.41,6.63,6.37,6.54,6.54,200000
69db5db4aebeb3541843e069e4fb028f,2023-06-19T23:51:09.935884,2022-07-14,6.49,6.5,6.33,6.45,6.45,193900
5b3126a53e38da00c5eeb28b0090ed95,2023-06-19T23:51:09.935884,2022-07-15,6.63,6.71,6.51,6.7,6.7,271700
4eda9fce7d348dc6c30964312e4f0751,2023-06-19T23:51:09.935884,2022-07-18,6.74,6.99,6.74,6.77,6.77,330900
282e83c5b961640c2bffbe482061e328,2023-06-19T23:51:09.935884,2022-07-19,6.84,6.99,6.84,6.98,6.98,331800
e3ad20b9a54d3ed2ffa4e83fa22cb7b4,2023-06-19T23:51:09.935884,2022-07-20,6.99,7.17,6.95,7.15,7.15,444600
49a6c0390301b6907bcffddc78fac2c9,2023-06-19T23:51:09.935884,2022-07-21,7.18,7.32,7,7.31,7.31,267300
353fcc1584bc5ed91a348f62c7e5b967,2023-06-19T23:51:09.935884,2022-07-22,7.37,7.5,7.17,7.32,7.32,341700
eca997741263fa140d09612508aeaf09,2023-06-19T23:51:09.935884,2022-07-25,7.36,7.41,7.14,7.37,7.37,510400
187db15dc4465819b3d9636fb4b60c13,2023-06-19T23:51:09.935884,2022-07-26,7.25,7.25,6.87,7.05,7.05,506900
47633f143bee00bcd2cbf6d66e18367c,2023-06-19T23:51:09.935884,2022-07-27,7.17,7.37,7,7.3,7.3,376900
aff354e38d6ab825994e59816ffa164f,2023-06-19T23:51:09.935884,2022-07-28,7.34,7.5,7.14,7.5,7.5,273600
9f15c66976b90700ec84cd21e0538465,2023-06-19T23:51:09.935884,2022-07-29,7.5,7.59,7.29,7.46,7.46,362400
dc441ab0769d3334ef97bb06db021b6e,2023-06-19T23:51:09.935884,2022-08-01,7.38,7.85,7.3,7.75,7.75,565400
b7a7d8465b550fecc6b7912cf4ab6fe8,2023-06-19T23:51:09.935884,2022-08-02,7.7,7.79,7.52,7.53,7.53,457800
4ad2e1846e2e3a4f874ba6c7ccffed83,2023-06-19T23:51:09.935884,2022-08-03,7.15,7.21,6.78,7.15,7.15,1107200
ddabf092508ad681bdad69aa2e396c22,2023-06-19T23:51:09.935884,2022-08-04,7.21,7.49,7.09,7.21,7.21,396700
9d09f2d21dffd9db414ce64e926b912f,2023-06-19T23:51:09.935884,2022-08-05,7.15,7.31,7.11,7.18,7.18,284800
7d80fddd947590135d984a204032e8d3,2023-06-19T23:51:09.935884,2022-08-08,7.29,7.47,7.25,7.29,7.29,629300
796f32a89829d7da858b7c16510d47e4,2023-06-19T23:51:09.935884,2022-08-09,7.36,7.36,6.83,7.05,7.05,737200
f46e1d2d10dc46e9fb6c8068b4a3ad9d,2023-06-19T23:51:09.935884,2022-08-10,7.37,7.58,7.25,7.27,7.27,686200
c4e1c190aee732067f86d3d298ba8266,2023-06-19T23:51:09.935884,2022-08-11,7.37,7.55,7.35,7.47,7.47,473300
ee6da14b2cd5ea37286c0cc81698dff0,2023-06-19T23:51:09.935884,2022-08-12,7.54,7.91,7.47,7.89,7.89,547400
0bd98737dd9f70ae642c1000bb27500a,2023-06-19T23:51:09.935884,2022-08-15,7.85,7.95,7.7,7.73,7.73,305800
542029d70feaa632deaf52dea0e134b6,2023-06-19T23:51:09.935884,2022-08-16,7.81,8.09,7.76,7.93,7.93,445100
3276e5c3edb94140ec6677266f3f9b2f,2023-06-19T23:51:09.935884,2022-08-17,7.84,7.93,7.74,7.82,7.82,184700
9c82ee697a77fcb4c2a0b2ee451a373d,2023-06-19T23:51:09.935884,2022-08-18,7.79,7.82,7.57,7.73,7.73,297900
32d5d44cb93258aba64087a132401cc0,2023-06-19T23:51:09.935884,2022-08-19,7.7,7.7,7.37,7.42,7.42,235400
